PC1	PC2	PC3	PC4	PC5	MACCS1_c	MACCS2_c	MACCS3_c	MACCS4_c	MACCS1_r	MACCS2_r	MACCS3_r	MACCS4_r	conc_c	conc_r	inhibition	drug_r	drug_c	cell
Cell_Line_15__Drug_1__0.05__Drug_3__0.4	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	1	1	1	0	0.05	0.4	60.3333333333333	Drug_3	Drug_1	Cell_Line_15
Cell_Line_15__Drug_1__0.05__Drug_3__0.7	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	1	1	1	0	0.05	0.7	66.2666666666667	Drug_3	Drug_1	Cell_Line_15
Cell_Line_15__Drug_1__0.075__Drug_3__0.1	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	1	1	1	0	0.075	0.1	72.2	Drug_3	Drug_1	Cell_Line_15
Cell_Line_15__Drug_1__0.075__Drug_3__0.2	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	1	1	1	0	0.075	0.2	78.1333333333333	Drug_3	Drug_1	Cell_Line_15
Cell_Line_15__Drug_1__0.075__Drug_3__0.4	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	1	1	1	0	0.075	0.4	84.0666666666667	Drug_3	Drug_1	Cell_Line_15
Cell_Line_15__Drug_1__0.075__Drug_3__0.7	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	1	1	1	0	0.075	0.7	90	Drug_3	Drug_1	Cell_Line_15
Cell_Line_15__Drug_1__0_____no_drug_____0.1	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	0	0	0	0	0	0.1	4	___no_drug___	Drug_1	Cell_Line_15
Cell_Line_15__Drug_1__0_____no_drug_____0.2	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	0	0	0	0	0	0.2	17.6666666666667	___no_drug___	Drug_1	Cell_Line_15
Cell_Line_15__Drug_1__0_____no_drug_____0.4	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	0	0	0	0	0	0.4	31.3333333333333	___no_drug___	Drug_1	Cell_Line_15
Cell_Line_15__Drug_1__0_____no_drug_____0.7	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	0	0	0	0	0	0.7	45	___no_drug___	Drug_1	Cell_Line_15
Cell_Line_15__Drug_3__0_____no_drug_____0.01	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	0	0	0	0	0	0.01	7	___no_drug___	Drug_3	Cell_Line_15
Cell_Line_15__Drug_3__0_____no_drug_____0.025	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	0	0	0	0	0	0.025	28	___no_drug___	Drug_3	Cell_Line_15
Cell_Line_15__Drug_3__0_____no_drug_____0.07	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	0	0	0	0	0	0.07	49	___no_drug___	Drug_3	Cell_Line_15
Cell_Line_15__Drug_3__0_____no_drug_____0.075	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	0	0	0	0	0	0.075	70	___no_drug___	Drug_3	Cell_Line_15
Cell_Line_10__Drug_4__0.3__Drug_5__0.5	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	1	0.3	0.5	1	Drug_5	Drug_4	Cell_Line_10
Cell_Line_10__Drug_4__0.3__Drug_5__1	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	1	0.3	1	8.18181818181818	Drug_5	Drug_4	Cell_Line_10
Cell_Line_10__Drug_4__0.3__Drug_5__2	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	1	0.3	2	15.3636363636364	Drug_5	Drug_4	Cell_Line_10
Cell_Line_10__Drug_4__0.3__Drug_5__5	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	1	0.3	5	22.5454545454545	Drug_5	Drug_4	Cell_Line_10
Cell_Line_10__Drug_4__0.9__Drug_5__0.5	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	1	0.9	0.5	29.7272727272727	Drug_5	Drug_4	Cell_Line_10
Cell_Line_10__Drug_4__0.9__Drug_5__1	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	1	0.9	1	36.9090909090909	Drug_5	Drug_4	Cell_Line_10
Cell_Line_10__Drug_4__0.9__Drug_5__2	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	1	0.9	2	44.0909090909091	Drug_5	Drug_4	Cell_Line_10
Cell_Line_10__Drug_4__0.9__Drug_5__5	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	1	0.9	5	51.2727272727273	Drug_5	Drug_4	Cell_Line_10
Cell_Line_10__Drug_4__2.7__Drug_5__0.5	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	1	2.7	0.5	58.4545454545455	Drug_5	Drug_4	Cell_Line_10
Cell_Line_10__Drug_4__2.7__Drug_5__1	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	1	2.7	1	65.6363636363636	Drug_5	Drug_4	Cell_Line_10
Cell_Line_10__Drug_4__2.7__Drug_5__2	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	1	2.7	2	72.8181818181818	Drug_5	Drug_4	Cell_Line_10
Cell_Line_10__Drug_4__2.7__Drug_5__5	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	1	2.7	5	80	Drug_5	Drug_4	Cell_Line_10
Cell_Line_10__Drug_4__0_____no_drug_____0.5	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	0	0	0.5	2	___no_drug___	Drug_4	Cell_Line_10
Cell_Line_10__Drug_4__0_____no_drug_____1	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	0	0	1	9.66666666666667	___no_drug___	Drug_4	Cell_Line_10
Cell_Line_10__Drug_4__0_____no_drug_____2	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	0	0	2	17.3333333333333	___no_drug___	Drug_4	Cell_Line_10
Cell_Line_10__Drug_4__0_____no_drug_____5	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	0	0	5	25	___no_drug___	Drug_4	Cell_Line_10
Cell_Line_10__Drug_5__0_____no_drug_____0.3	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	1	0	0	0	0	0	0.3	1	___no_drug___	Drug_5	Cell_Line_10
Cell_Line_10__Drug_5__0_____no_drug_____0.9	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	1	0	0	0	0	0	0.9	30.5	___no_drug___	Drug_5	Cell_Line_10
Cell_Line_10__Drug_5__0_____no_drug_____2.7	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	1	0	0	0	0	0	2.7	60	___no_drug___	Drug_5	Cell_Line_10
Cell_Line_8__Drug_4__0.02__Drug_6__0.5	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.02	0.5	25	Drug_6	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0.02__Drug_6__1	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.02	1	29.3333333333333	Drug_6	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0.02__Drug_6__2	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.02	2	33.6666666666667	Drug_6	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0.02__Drug_6__5	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.02	5	38	Drug_6	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0.05__Drug_6__0.5	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.05	0.5	42.3333333333333	Drug_6	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0.05__Drug_6__1	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.05	1	46.6666666666667	Drug_6	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0.05__Drug_6__2	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.05	2	51	Drug_6	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0.05__Drug_6__5	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.05	5	55.3333333333333	Drug_6	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0.09__Drug_6__0.5	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.09	0.5	59.6666666666667	Drug_6	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0.09__Drug_6__1	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.09	1	64	Drug_6	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0.09__Drug_6__2	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.09	2	68.3333333333333	Drug_6	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0.09__Drug_6__5	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.09	5	72.6666666666667	Drug_6	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0.18__Drug_6__0.5	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.18	0.5	77	Drug_6	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0.18__Drug_6__1	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.18	1	81.3333333333333	Drug_6	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0.18__Drug_6__2	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.18	2	85.6666666666667	Drug_6	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0.18__Drug_6__5	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.18	5	90	Drug_6	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0_____no_drug_____0.5	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	0	0	0	0	0	0.5	23	___no_drug___	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0_____no_drug_____1	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	0	0	0	0	0	1	37.3333333333333	___no_drug___	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0_____no_drug_____2	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	0	0	0	0	0	2	51.6666666666667	___no_drug___	Drug_4	Cell_Line_8
Cell_Line_8__Drug_4__0_____no_drug_____5	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	0	0	0	0	0	5	66	___no_drug___	Drug_4	Cell_Line_8
Cell_Line_8__Drug_6__0_____no_drug_____0.02	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	0	0.02	10	___no_drug___	Drug_6	Cell_Line_8
Cell_Line_8__Drug_6__0_____no_drug_____0.05	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	0	0.05	35.6666666666667	___no_drug___	Drug_6	Cell_Line_8
Cell_Line_8__Drug_6__0_____no_drug_____0.09	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	0	0.09	61.3333333333333	___no_drug___	Drug_6	Cell_Line_8
Cell_Line_8__Drug_6__0_____no_drug_____0.18	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	0	0.18	87	___no_drug___	Drug_6	Cell_Line_8
Cell_Line_2__Drug_2__0.1__Drug_1__0.2	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	1	0	0	1	1	0	0	0.1	0.2	2	Drug_1	Drug_2	Cell_Line_2
Cell_Line_2__Drug_2__0.2__Drug_1__0.2	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	1	0	0	1	1	0	0	0.2	0.2	10.9090909090909	Drug_1	Drug_2	Cell_Line_2
Cell_Line_2__Drug_2__0.4__Drug_1__0.2	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	1	0	0	1	1	0	0	0.4	0.2	19.8181818181818	Drug_1	Drug_2	Cell_Line_2
Cell_Line_2__Drug_2__0.7__Drug_1__0.2	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	1	0	0	1	1	0	0	0.7	0.2	28.7272727272727	Drug_1	Drug_2	Cell_Line_2
Cell_Line_2__Drug_2__0.1__Drug_1__0.5	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	1	0	0	1	1	0	0	0.1	0.5	37.6363636363636	Drug_1	Drug_2	Cell_Line_2
Cell_Line_2__Drug_2__0.2__Drug_1__0.5	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	1	0	0	1	1	0	0	0.2	0.5	46.5454545454545	Drug_1	Drug_2	Cell_Line_2
Cell_Line_2__Drug_2__0.4__Drug_1__0.5	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	1	0	0	1	1	0	0	0.4	0.5	55.4545454545455	Drug_1	Drug_2	Cell_Line_2
Cell_Line_2__Drug_2__0.7__Drug_1__0.5	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	1	0	0	1	1	0	0	0.7	0.5	64.3636363636364	Drug_1	Drug_2	Cell_Line_2
Cell_Line_2__Drug_2__0.1__Drug_1__1	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	1	0	0	1	1	0	0	0.1	1	73.2727272727273	Drug_1	Drug_2	Cell_Line_2
Cell_Line_2__Drug_2__0.2__Drug_1__1	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	1	0	0	1	1	0	0	0.2	1	82.1818181818182	Drug_1	Drug_2	Cell_Line_2
Cell_Line_2__Drug_2__0.4__Drug_1__1	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	1	0	0	1	1	0	0	0.4	1	91.0909090909091	Drug_1	Drug_2	Cell_Line_2
Cell_Line_2__Drug_2__0.7__Drug_1__1	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	1	0	0	1	1	0	0	0.7	1	100	Drug_1	Drug_2	Cell_Line_2
Cell_Line_2_____no_drug_____0.1__Drug_1__0	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	0	0	0	1	1	0	0	0.1	0	4	Drug_1	___no_drug___	Cell_Line_2
Cell_Line_2_____no_drug_____0.2__Drug_1__0	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	0	0	0	1	1	0	0	0.2	0	19.3333333333333	Drug_1	___no_drug___	Cell_Line_2
Cell_Line_2_____no_drug_____0.4__Drug_1__0	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	0	0	0	1	1	0	0	0.4	0	34.6666666666667	Drug_1	___no_drug___	Cell_Line_2
Cell_Line_2_____no_drug_____0.7__Drug_1__0	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	0	0	0	1	1	0	0	0.7	0	50	Drug_1	___no_drug___	Cell_Line_2
Cell_Line_2_____no_drug_____0.2__Drug_2__0	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	0	0	0	0	1	0	0	0.2	0	5	Drug_2	___no_drug___	Cell_Line_2
Cell_Line_2_____no_drug_____0.5__Drug_2__0	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	0	0	0	0	1	0	0	0.5	0	40	Drug_2	___no_drug___	Cell_Line_2
Cell_Line_2_____no_drug_____1__Drug_2__0	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	0	0	0	0	0	1	0	0	1	0	75	Drug_2	___no_drug___	Cell_Line_2
Cell_Line_4__Drug_3__0.1__Drug_1__0.01	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	1	1	1	0	1	1	0	0	0.1	0.01	1	Drug_1	Drug_3	Cell_Line_4
Cell_Line_4__Drug_3__0.2__Drug_1__0.01	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	1	1	1	0	1	1	0	0	0.2	0.01	6.4	Drug_1	Drug_3	Cell_Line_4
Cell_Line_4__Drug_3__0.4__Drug_1__0.01	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	1	1	1	0	1	1	0	0	0.4	0.01	11.8	Drug_1	Drug_3	Cell_Line_4
Cell_Line_4__Drug_3__0.7__Drug_1__0.01	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	1	1	1	0	1	1	0	0	0.7	0.01	17.2	Drug_1	Drug_3	Cell_Line_4
Cell_Line_4__Drug_3__0.1__Drug_1__0.025	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	1	1	1	0	1	1	0	0	0.1	0.025	22.6	Drug_1	Drug_3	Cell_Line_4
Cell_Line_4__Drug_3__0.2__Drug_1__0.025	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	1	1	1	0	1	1	0	0	0.2	0.025	28	Drug_1	Drug_3	Cell_Line_4
Cell_Line_4__Drug_3__0.4__Drug_1__0.025	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	1	1	1	0	1	1	0	0	0.4	0.025	33.4	Drug_1	Drug_3	Cell_Line_4
Cell_Line_4__Drug_3__0.7__Drug_1__0.025	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	1	1	1	0	1	1	0	0	0.7	0.025	38.8	Drug_1	Drug_3	Cell_Line_4
Cell_Line_4__Drug_3__0.1__Drug_1__0.05	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	1	1	1	0	1	1	0	0	0.1	0.05	44.2	Drug_1	Drug_3	Cell_Line_4
Cell_Line_4__Drug_3__0.2__Drug_1__0.05	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	1	1	1	0	1	1	0	0	0.2	0.05	49.6	Drug_1	Drug_3	Cell_Line_4
Cell_Line_4__Drug_3__0.4__Drug_1__0.05	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	1	1	1	0	1	1	0	0	0.4	0.05	55	Drug_1	Drug_3	Cell_Line_4
Cell_Line_4__Drug_3__0.7__Drug_1__0.05	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	1	1	1	0	1	1	0	0	0.7	0.05	60.4	Drug_1	Drug_3	Cell_Line_4
Cell_Line_4__Drug_3__0.1__Drug_1__0.075	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	1	1	1	0	1	1	0	0	0.1	0.075	65.8	Drug_1	Drug_3	Cell_Line_4
Cell_Line_4__Drug_3__0.2__Drug_1__0.075	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	1	1	1	0	1	1	0	0	0.2	0.075	71.2	Drug_1	Drug_3	Cell_Line_4
Cell_Line_4__Drug_3__0.4__Drug_1__0.075	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	1	1	1	0	1	1	0	0	0.4	0.075	76.6	Drug_1	Drug_3	Cell_Line_4
Cell_Line_4__Drug_3__0.7__Drug_1__0.075	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	1	1	1	0	1	1	0	0	0.7	0.075	82	Drug_1	Drug_3	Cell_Line_4
Cell_Line_4_____no_drug_____0.1__Drug_1__0	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	0	0	0	0	1	1	0	0	0.1	0	2	Drug_1	___no_drug___	Cell_Line_4
Cell_Line_4_____no_drug_____0.2__Drug_1__0	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	0	0	0	0	1	1	0	0	0.2	0	15	Drug_1	___no_drug___	Cell_Line_4
Cell_Line_4_____no_drug_____0.4__Drug_1__0	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	0	0	0	0	1	1	0	0	0.4	0	28	Drug_1	___no_drug___	Cell_Line_4
Cell_Line_4_____no_drug_____0.7__Drug_1__0	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	0	0	0	0	1	1	0	0	0.7	0	41	Drug_1	___no_drug___	Cell_Line_4
Cell_Line_4_____no_drug_____0.01__Drug_3__0	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	0	0	0	0	1	1	1	0	0.01	0	7	Drug_3	___no_drug___	Cell_Line_4
Cell_Line_4_____no_drug_____0.025__Drug_3__0	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	0	0	0	0	1	1	1	0	0.025	0	27.3333333333333	Drug_3	___no_drug___	Cell_Line_4
Cell_Line_4_____no_drug_____0.07__Drug_3__0	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	0	0	0	0	1	1	1	0	0.07	0	47.6666666666667	Drug_3	___no_drug___	Cell_Line_4
Cell_Line_4_____no_drug_____0.075__Drug_3__0	-0.655969028216086	1.47089772107311	2.04036298947984	-0.00610308831570014	-0.246047823193099	0	0	0	0	1	1	1	0	0.075	0	68	Drug_3	___no_drug___	Cell_Line_4
Cell_Line_2__Drug_1__0.2__Drug_2__0.1	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	1	1	0	0	0	1	0	0	0.2	0.1	2	Drug_2	Drug_1	Cell_Line_2
Cell_Line_2__Drug_1__0.2__Drug_2__0.2	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	1	1	0	0	0	1	0	0	0.2	0.2	10.9090909090909	Drug_2	Drug_1	Cell_Line_2
Cell_Line_2__Drug_1__0.2__Drug_2__0.4	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	1	1	0	0	0	1	0	0	0.2	0.4	19.8181818181818	Drug_2	Drug_1	Cell_Line_2
Cell_Line_2__Drug_1__0.2__Drug_2__0.7	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	1	1	0	0	0	1	0	0	0.2	0.7	28.7272727272727	Drug_2	Drug_1	Cell_Line_2
Cell_Line_2__Drug_1__0.5__Drug_2__0.1	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	1	1	0	0	0	1	0	0	0.5	0.1	37.6363636363636	Drug_2	Drug_1	Cell_Line_2
Cell_Line_2__Drug_1__0.5__Drug_2__0.2	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	1	1	0	0	0	1	0	0	0.5	0.2	46.5454545454545	Drug_2	Drug_1	Cell_Line_2
Cell_Line_2__Drug_1__0.5__Drug_2__0.4	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	1	1	0	0	0	1	0	0	0.5	0.4	55.4545454545455	Drug_2	Drug_1	Cell_Line_2
Cell_Line_2__Drug_1__0.5__Drug_2__0.7	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	1	1	0	0	0	1	0	0	0.5	0.7	64.3636363636364	Drug_2	Drug_1	Cell_Line_2
Cell_Line_2__Drug_1__1__Drug_2__0.1	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	1	1	0	0	0	1	0	0	1	0.1	73.2727272727273	Drug_2	Drug_1	Cell_Line_2
Cell_Line_2__Drug_1__1__Drug_2__0.2	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	1	1	0	0	0	1	0	0	1	0.2	82.1818181818182	Drug_2	Drug_1	Cell_Line_2
Cell_Line_2__Drug_1__1__Drug_2__0.4	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	1	1	0	0	0	1	0	0	1	0.4	91.0909090909091	Drug_2	Drug_1	Cell_Line_2
Cell_Line_2__Drug_1__1__Drug_2__0.7	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	1	1	0	0	0	1	0	0	1	0.7	100	Drug_2	Drug_1	Cell_Line_2
Cell_Line_2__Drug_1__0_____no_drug_____0.1	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	1	1	0	0	0	0	0	0	0	0.1	4	___no_drug___	Drug_1	Cell_Line_2
Cell_Line_2__Drug_1__0_____no_drug_____0.2	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	1	1	0	0	0	0	0	0	0	0.2	19.3333333333333	___no_drug___	Drug_1	Cell_Line_2
Cell_Line_2__Drug_1__0_____no_drug_____0.4	0.348533300297203	-1.69525075023086	-1.73059891261809	-2.01644554785902	0.583490318886652	1	1	0	0	0	0	0	0	0	0.4	34.6666666666667	___no_drug___	Drug_1	Cell_Line_2
