drug	canonicalsmiles	maccs_3	maccs_6	maccs_7	maccs_8	maccs_9	maccs_10	maccs_11	maccs_12	maccs_13	maccs_14	maccs_15	maccs_16	maccs_17	maccs_18	maccs_19	maccs_20	maccs_21	maccs_22	maccs_23	maccs_24	maccs_25	maccs_26	maccs_27	maccs_28	maccs_29	maccs_30	maccs_31	maccs_32	maccs_33	maccs_34	maccs_35	maccs_36	maccs_37	maccs_38	maccs_39	maccs_40	maccs_41	maccs_42	maccs_43	maccs_44	maccs_45	maccs_46	maccs_47	maccs_48	maccs_49	maccs_50	maccs_51	maccs_52	maccs_53	maccs_54	maccs_55	maccs_56	maccs_57	maccs_58	maccs_59	maccs_60	maccs_61	maccs_62	maccs_63	maccs_64	maccs_65	maccs_66	maccs_67	maccs_68	maccs_69	maccs_70	maccs_71	maccs_72	maccs_73	maccs_74	maccs_75	maccs_76	maccs_77	maccs_78	maccs_79	maccs_80	maccs_81	maccs_82	maccs_83	maccs_84	maccs_85	maccs_86	maccs_87	maccs_88	maccs_89	maccs_90	maccs_91	maccs_92	maccs_93	maccs_94	maccs_95	maccs_96	maccs_97	maccs_98	maccs_99	maccs_100	maccs_101	maccs_102	maccs_103	maccs_104	maccs_105	maccs_106	maccs_107	maccs_108	maccs_109	maccs_110	maccs_111	maccs_112	maccs_113	maccs_114	maccs_115	maccs_116	maccs_117	maccs_118	maccs_119	maccs_120	maccs_121	maccs_122	maccs_123	maccs_124	maccs_125	maccs_126	maccs_127	maccs_128	maccs_129	maccs_130	maccs_131	maccs_132	maccs_133	maccs_134	maccs_135	maccs_136	maccs_137	maccs_138	maccs_139	maccs_140	maccs_141	maccs_142	maccs_143	maccs_144	maccs_145	maccs_146	maccs_147	maccs_148	maccs_149	maccs_150	maccs_151	maccs_152	maccs_153	maccs_154	maccs_155	maccs_156	maccs_157	maccs_158	maccs_159	maccs_160	maccs_161	maccs_162	maccs_163	maccs_164	maccs_165	maccs_166
YK-4-279	COC1=CC=C(C=C1)C(=O)CC2(C3=C(C=CC(=C3NC2=O)Cl)Cl)O	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0
minocycline	CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0
59643-91-3	C1C2N1C(=O)N=C2N	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	0	0	1	0	1	1	1	0
LY2334737	CCCC(CCC)C(=O)NC1=NC(=O)N(C=C1)C2C(C(C(O2)CO)O)(F)F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
2-Fluoroadenosine	C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0
10-Hydroxycamptothecin	CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)O)O	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	1	1	1	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
CHEMBL3348857	CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	0
Icrf 193	CC(C(C)N1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	0
Vinflunine	CCC12C=CCN3C1C4(CC3)C(C(C2OC(=O)C)(C(=O)OC)O)N(C5=CC(=C(C=C45)C6(CC7CC(CN(C7)CC8=C6NC9=CC=CC=C89)C(C)(F)F)C(=O)OC)OC)C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ARQ 621	C#CCC(C1=NC2=C(C=CC(=C2)Cl)C(=O)N1NC3=CC=CC=C3)N(CCCN)C(=O)C4=C(C(=CC=C4)Cl)F	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0
Filanesib	CN(C(=O)N1C(SC(=N1)C2=C(C=CC(=C2)F)F)(CCCN)C3=CC=CC=C3)OC	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TAS-116	CCC1=C(C=CC(=C1)C(=O)N)N2C3=NC=CC(=C3C(=N2)C(C)C)N4C=C(N=C4)C5=CN(N=C5)C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	0
1149705-71-4	CCC(C)NC1=CC(=C(C=C1C(=O)N)C)C(=O)NC2CC3CCC(C2)N3C4=NC=C(C=C4)C(=O)C5CC5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0
SCHEMBL1351190	CC1=NC(=NC2=C1C(=O)NC(C2)C3=C(C=C(C=C3)F)C4=NC(=CC=C4)OC)N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0
Spautin-1	C1=CC(=CC=C1CNC2=NC=NC3=C2C=C(C=C3)F)F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	1	1	1	0	1	0
TPCK	CC1=CC=C(C=C1)S(=O)(=O)NC(CC2=CC=CC=C2)C(=O)CCl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0
Amastatin	CC(C)CC(C(C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(=O)O)C(=O)O)O)N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0
LACTOBIONIC ACID	C(C1C(C(C(C(O1)OC(C(CO)O)C(C(C(=O)O)O)O)O)O)O)O	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1	1	1	1	0	1	0	1	0	0	0	1	1	1	0
Aderbasib	COC(=O)N1CC2(CC2)CC(C1C(=O)N3CCN(CC3)C4=CC=CC=C4)C(=O)NO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0
gm 1489	CC(C)CC(CC(=O)O)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C)C3=CC=CC=C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0
FADROZOLE	C1CC(N2C=NC=C2C1)C3=CC=C(C=C3)C#N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0
217645-70-0	CC1CN(CCN1C(=O)COC2=C(C=C(C=C2)Cl)NC(=O)N)CC3=CC=C(C=C3)F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MK-0812	CC(C)C1(CCC(C1)NC2CCOCC2OC)C(=O)N3CCC4=NC=C(C=C4C3)C(F)(F)F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0
AZD8797	CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SC(C)C3=CC=CC=C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0
Seviteronel	CC(C)C(C1=CC2=CC(=C(C=C2C=C1)OC(F)F)OC(F)F)(C3=NNN=C3)O	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	0
Parecoxib sodium	CCC(=O)[N-]S(=O)(=O)C1=CC=C(C=C1)C2=C(ON=C2C3=CC=CC=C3)C.[Na+]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1
WAY-262611	C1CN(CCC1CN)C2=NC=CC(=N2)C3=CC4=CC=CC=C4C=C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	1	1	1	0	1	0
HPI 1	CC1=C(C(C2=C(N1)CC(CC2=O)C3=CC=CC=C3OC)C4=CC(=CC=C4)O)C(=O)OCCOC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Glasdegib	CN1CCC(CC1C2=NC3=CC=CC=C3N2)NC(=O)NC4=CC=C(C=C4)C#N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	0
BMS-983970	C1CC1CC(C(CCC(F)(F)F)C(=O)NC2C(=O)NC3=C(C=CC=C3F)C(=N2)C4=CC=CC=C4)C(=O)N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	0
TOLRESTAT	CN(CC(=O)O)C(=S)C1=CC=CC2=C1C=CC(=C2C(F)(F)F)OC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
cerulenin	CC=CCC=CCCC(=O)C1C(O1)C(=O)N	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0
Riociguat	CN(C1=C(N=C(N=C1N)C2=NN(C3=C2C=CC=N3)CC4=CC=CC=C4F)N)C(=O)OC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
